,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Ilulissat,23,GL,1578456824,53,69.22,-51.1,-2.2,12.75
1,Yerbogachen,99,RU,1578456824,94,61.28,108.01,7.54,8.57
2,Albany,90,US,1578456824,84,42.65,-73.75,33.01,2.71
3,Kaitangata,100,NZ,1578456824,71,-46.28,169.85,59.0,5.99
4,Petropavlovsk-Kamchatskiy,100,RU,1578456824,49,53.05,158.65,23.0,2.24
5,Punta Arenas,100,CL,1578456787,76,-53.16,-70.91,48.2,16.11
6,Mataura,97,NZ,1578456824,70,-46.19,168.86,59.0,10.0
7,Marsa Matruh,18,EG,1578456824,68,31.35,27.25,58.01,30.09
8,Ushuaia,90,AR,1578456824,93,-54.81,-68.31,46.4,8.05
9,Tautira,40,PF,1578456824,74,-17.73,-149.15,84.2,5.82
10,Pisco,75,PE,1578456824,88,-13.71,-76.2,71.6,11.41
11,Pevek,0,RU,1578456824,81,69.7,170.27,-11.81,13.78
12,Esperance,0,AU,1578456824,54,-33.86,121.89,78.8,12.75
13,Bambous Virieux,40,MU,1578456621,94,-20.34,57.76,78.8,4.74
14,Busselton,0,AU,1578456826,39,-33.64,115.35,82.99,4.0
15,Castro,40,CL,1578456826,76,-42.48,-73.76,51.8,10.29
16,Faanui,4,PF,1578456826,78,-16.48,-151.75,81.77,18.43
17,Ponta do Sol,100,BR,1578456826,93,-20.63,-46.0,70.05,2.19
18,Berlevag,100,NO,1578456827,74,70.86,29.09,35.6,26.4
19,Yellowknife,5,CA,1578456751,73,62.45,-114.38,-32.01,4.7
20,Cape Town,75,ZA,1578456827,100,-33.93,18.42,66.2,2.24
21,Castlemaine,79,AU,1578456827,61,-37.07,144.22,91.99,7.0
22,Rikitea,0,PF,1578456827,80,-23.12,-134.97,77.13,17.67
23,Ternate,40,PH,1578456584,74,14.29,120.72,84.99,8.05
24,New Norfolk,20,AU,1578456827,49,-42.78,147.06,78.01,19.46
25,Saint George,20,GR,1578456827,85,39.45,22.34,34.0,2.46
26,Hermanus,0,ZA,1578456827,95,-34.42,19.24,66.0,3.38
27,Sao Filipe,100,CV,1578456827,72,14.9,-24.5,68.05,19.66
28,Upernavik,99,GL,1578456827,71,72.79,-56.15,-16.37,6.71
29,Jertih,40,MY,1578456827,74,5.74,102.5,86.0,11.41
30,Vestmanna,100,FO,1578456827,80,62.16,-7.17,33.8,38.03
31,Athabasca,100,CA,1578456827,96,54.72,-113.29,1.94,8.66
32,Vaini,40,IN,1578456828,94,15.34,74.49,69.8,2.95
33,Anakapalle,20,IN,1578456828,69,17.69,83.0,75.2,2.24
34,Colares,0,PT,1578456828,100,38.8,-9.45,48.2,2.24
35,Nikolskoye,90,RU,1578456828,86,59.7,30.79,37.4,6.71
36,Broome,100,GB,1578456828,87,52.47,1.45,55.4,14.99
37,Lompoc,1,US,1578456828,81,34.64,-120.46,53.01,5.82
38,Norman Wells,5,CA,1578456828,64,65.28,-126.83,-45.4,3.36
39,Husavik,24,CA,1578456828,82,50.56,-96.99,-6.0,5.01
40,Kavaratti,40,IN,1578456828,74,10.57,72.64,84.2,6.93
41,Port Lincoln,0,AU,1578456828,39,-34.72,135.86,79.63,9.66
42,Puerto Ayora,32,EC,1578456607,80,-0.74,-90.35,75.99,3.0
43,Barrow,0,AR,1578456828,37,-38.31,-60.23,67.41,8.34
44,Antalaha,10,MG,1578456828,80,-14.9,50.28,79.86,10.63
45,Saint-Augustin,90,CA,1578456828,73,45.63,-73.98,28.0,4.7
46,Hobart,20,AU,1578456603,49,-42.88,147.33,77.0,19.46
47,Keti Bandar,0,PK,1578456829,74,24.14,67.45,58.35,7.23
48,Pingliang,78,CN,1578456829,63,35.54,106.68,25.2,4.9
49,Khatanga,100,RU,1578456829,95,71.98,102.47,4.35,10.02
50,Skjervoy,100,NO,1578456829,70,70.03,20.97,38.75,20.15
51,Kaeo,70,NZ,1578456829,60,-35.1,173.78,73.99,1.01
52,Arraial do Cabo,40,BR,1578456829,94,-22.97,-42.02,77.0,3.36
53,Sitka,0,US,1578456829,50,37.17,-99.65,36.0,1.01
54,Butaritari,100,KI,1578456830,80,3.07,172.79,83.97,17.85
55,Mayumba,100,GA,1578456830,79,-3.44,10.65,81.01,7.02
56,Kapaa,75,US,1578456818,64,22.08,-159.32,78.8,20.8
57,Terrace,75,CA,1578456830,79,54.52,-128.61,23.0,19.46
58,Georgetown,40,GY,1578456831,94,6.8,-58.16,75.2,4.7
59,Mar del Plata,0,AR,1578456831,35,-46.43,-67.52,57.43,34.99
60,Hilo,75,US,1578456831,69,19.71,-155.08,75.99,9.17
61,Paamiut,100,GL,1578456831,61,61.99,-49.67,16.77,14.16
62,Margate,20,AU,1578456831,49,-43.03,147.26,78.01,19.46
63,Rundu,95,NA,1578456831,100,-17.91,19.77,69.8,5.82
64,Bathsheba,75,BB,1578456831,74,13.22,-59.52,78.8,17.22
65,Dikson,95,RU,1578456831,97,73.51,80.55,-2.49,8.48
66,Drayton Valley,100,CA,1578456831,92,53.22,-114.98,17.87,10.96
67,Luderitz,100,NA,1578456831,100,-26.65,15.16,60.8,8.05
68,Airai,67,TL,1578456831,49,-8.93,125.41,83.8,4.14
69,Bluff,2,AU,1578456832,25,-23.58,149.07,91.89,12.68
70,Komsomolskiy,98,RU,1578456832,97,67.55,63.78,1.18,7.29
71,Riberalta,100,BO,1578456832,80,-11.0,-66.08,78.91,3.24
72,Miraflores,40,PE,1578456832,87,-16.39,-71.52,51.8,3.36
73,Saint Anthony,1,US,1578456832,92,43.97,-111.68,26.6,3.36
74,Saint-Louis,73,SN,1578456832,31,16.03,-16.5,60.8,6.93
75,Fortuna,90,US,1578456605,93,40.6,-124.16,48.2,5.82
76,Soure,1,PT,1578456832,100,40.06,-8.63,37.0,3.36
77,Khandyga,98,RU,1578456832,98,62.65,135.58,-3.73,1.74
78,Maku,100,IR,1578456832,63,39.29,44.45,21.79,2.55
79,Bethel,20,US,1578456661,75,60.79,-161.76,-18.4,13.87
80,Ailigandi,11,PA,1578456832,92,9.23,-78.02,74.26,7.02
81,Kirakira,100,SB,1578456832,71,-10.46,161.92,84.78,8.72
82,Alice Springs,77,AU,1578456832,17,-23.7,133.88,100.4,10.29
83,Taunggyi,0,MM,1578456833,49,20.78,97.03,68.02,2.26
84,Qaanaaq,0,GL,1578456833,82,77.48,-69.36,-24.32,2.08
85,Jijiga,54,ET,1578456833,66,9.35,42.8,56.08,7.25
86,Estelle,3,FR,1578456833,93,43.97,3.47,42.8,6.93
87,Oban,33,GB,1578456833,86,56.42,-5.47,42.01,4.0
88,Hithadhoo,94,MV,1578456833,76,-0.6,73.08,82.78,12.41
89,Naze,100,NG,1578456833,94,5.43,7.07,71.6,1.83
90,Rome,98,IT,1578456807,67,41.89,12.48,44.01,4.7
91,Hot Springs,1,US,1578456742,69,34.5,-93.06,45.0,3.67
92,Bonthe,0,SL,1578456833,79,7.53,-12.5,76.62,6.33
93,San Juan,0,AR,1578456834,32,-31.54,-68.53,83.14,19.95
94,Lavrentiya,0,RU,1578456574,95,65.58,-170.99,-12.17,3.58
95,Maputo,75,MZ,1578456834,88,-25.97,32.57,78.01,4.7
